Title:,Exp1086--20210219_OGT_OTL_TPR_L3Pra_DR_straight_ramp
Date/Time:,2/19/2021,1:41:39 PM
Device:,qTOWER³84 /G,3107G-0109
Operator:,
Comments:,
Colors+Dyes:,Pos,Color Module,Dye,Gain,Meas,Refr
,1,Blue.470.520.11.3,FAM,5,*,
,2,Green.515.545.11.2,JOE,5,*,
,3,Yellow.535.580.11.2,TAMRA,5,*,
,4,Orange.565.605.11.2,ROX,5,*,
,5,Red.630.670.11.1,Cy5,5,*,
,6,NIR1.660.705.11.1,Cy5.5,5,*,
Heated Lid:,100°C
TC Protocol:,steps,scan,°C,m:s,goto,loops,delta Temp(°C),delta Time (s),ramp (°C/s
,1,*,25,00:30,1,69,1,0,4
Melt active:,No
Meas. Repeats:,3
Color Comp.:,

FAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
A1,2143.08311124916,2018.64549971766,1967.69273469359,1875.31528991881,1869.67204628051,1782.81516593451,1632.08331049412,1587.38718515599,1699.63866187435,1614.37661125221,1651.34394639006,1658.25487519348,1645.57802354223,1600.47296750567,1495.58224335901,1319.2922192669,1219.96295261885,1118.38456712945,1144.18809420023,1040.64684135838,923.529089328736,967.898070108123,1024.24872035144,1084.72957064887,1130.52980887275,1141.65272386998,1060.35730102259,1033.7768056248,1116.21723442779,1118.34367405961,1115.68562451983,1127.50372170439,1038.52040172656,1000.53073984264,1030.34178775801,1033.53144720574,1058.84425743841,1126.97211179643,1077.24613886764,1107.50701055128,1034.39020167244,991.820515966134,938.986669729297,997.872690302861,998.404300210817,1070.04895857532,963.031794796835,987.894781261229,1016.47903708131,1114.54061856424,1146.19185462253,1156.37422901337,1047.92580779039,1087.71476474739,1085.26118055682,1099.90089956053,1071.2757506706,1157.02851813086,1201.0703543515,1187.20760367481,1105.01253329087,1046.00383350778,1048.04848699992,1072.82968732463,1087.9192300966,1139.11735353973,1067.18644368633,1008.79113995088,935.837903351405,821.582666210752
A2,237.179805087968,337.408719272556,474.523182455307,560.643987544145,656.947167023828,799.500408495666,780.607810228314,829.352349480876,810.296178934153,696.286300212557,680.501575253254,703.197229015982,609.102275307807,628.281125064059,585.016257170426,590.168783970613,631.061853813366,575.978888735177,495.910257983067,391.714716023732,395.313306169894,467.28510909314,579.659265021025,676.780305897564,695.550224955387,691.665383320326,705.037417158906,678.906745529387,657.56056307147,729.532365994715,688.802868431333,732.517560093236,684.345523818473,654.084652134836,615.399808063591,592.94951271992,585.384294799011,605.830829720387,536.230824848021,555.655033023329,579.781944230553,531.200977257363,591.804506764323,560.521308334617,492.720598535332,436.001910663433,526.171129666704,574.588524360524,670.523666211623,646.355861934555,715.015326200538,671.545992957691,719.227312394341,693.873609091835,590.536821599197,495.869364913224,674.326721706999,693.260213044193,761.960570380018,779.830841901301,704.546700320793,709.69922712098,778.890301294918,669.174194906812,765.600053596023,795.002170812963,928.599829989237,989.407824845411,945.079737135867,817.738717645534
A3,1181.60525310635,1250.63275500092,1251.5732956073,1282.52934947827,1231.57658445419,1225.0745863492,1189.17047102726,1104.64449566229,1088.40994693472,1108.28397887829,1072.993259604,997.013935836163,899.852001889782,907.785257439276,991.984088245505,1055.2047742224,893.963399832425,742.699934484082,558.394868702793,542.732822953019,712.439062800444,906.06774850588,927.495717103483,921.116398208013,905.372566318553,893.922506762583,1074.05647941991,1080.14954682648,1031.7730452025,911.833671353708,842.64259717977,811.563864099278,880.754938273216,920.666574439743,901.773976172391,871.472211418911,909.870804001256,923.529089328736,947.328855977218,939.150242008668,873.067041142779,734.153282886946,712.643528149658,812.586190845347,900.097360308838,896.212518673777,903.9822019439,800.849879800477,734.848465074273,812.054580937391,840.925088246375,836.631315912886,873.884902539634,962.50018488888,992.679270432831,989.857648613681,993.006414991573,893.513576064155,825.099470217229,826.571620731568,844.032961554424,877.769744174695,901.569510823178,814.71263047717,788.949996476235,761.020029773635,861.20805088838,907.335433671006,889.914985917993,798.641654028968
A4,2973.86671817453,2992.02324118472,2960.8218288947,2991.45073820692,2976.56566078416,2795.24578910139,2768.25636300517,2703.35906116472,2618.50594124101,2702.50030669802,2642.67374551808,2478.65164237879,2346.48524064702,2087.18228477412,1868.11810962649,1781.99730453765,1674.93924768932,1604.35780914073,1594.666151588,1430.56226230903,1438.9453416268,1421.81114536268,1446.55145261755,1511.61232673737,1596.79259121982,1526.04758039186,1578.55428206995,1510.42642771193,1502.86120979102,1549.60198862129,1486.05415808565,1293.48869219612,1262.36906604579,1273.8600186716,1359.04028315406,1332.99139766422,1380.55003789134,1364.39727530346,1281.62970194172,1271.16107606198,1303.91642500603,1204.38269300876,1277.70396723682,1282.03863264015,1239.55073307353,1228.4278180763,1252.39115700416,1197.55355034502,1137.72698916508,977.835086079912,957.633909577592,917.35423578248,929.008760687665,1073.52486951195,1074.46541011834,1005.88773199204,1014.88420735745,983.764581207111,929.131439897193,923.651768538264,792.466800482712,653.185004598295,680.869612881839,751.573730639959,861.003585539166,859.449648885142,759.138948560868,590.12789090077,506.542456142183,470.270303191661
A5,1194.77282159572,1119.12064238662,1059.58033269558,1111.80078288477,1076.30559826126,1070.17163778485,1072.58432890557,1032.83626501841,1004.53826068723,1158.54156171504,1117.40313345323,1004.49736761739,987.15870600406,981.188317807018,1011.12204493191,968.061642387494,897.112166210317,807.638129394374,771.325083374009,783.184073628407,872.371858955452,731.617912556696,720.290532210253,695.018615047432,699.353280450763,841.702056573387,898.666102864342,883.33120167331,838.594183265338,809.723675956354,759.997703027566,786.537305355513,683.85480698036,664.798636433637,694.527898209319,770.834366535896,805.102759064123,762.451287218131,761.060922843478,780.076200320358,826.326262312512,761.183602053006,759.098055491026,689.252692199603,660.750222519204,732.681132372607,756.685364370303,726.301813477138,744.335657277792,713.297817267142,523.022363288812,528.256676228684,565.632942064961,674.817438545112,705.364561717648,742.781720623767,602.722956412338,591.559148345266,633.392758794403,745.112625604804,769.812039789827,778.195119107591,630.98006767368,557.536114236096,547.803563613521,600.800982129728,643.370667836035,656.456450185715,558.149510283737,517.910729558468
A6,1925.77733810477,1882.51247021114,1884.9660544017,1907.04831211679,1940.08991254974,1898.33808824028,1772.83725689287,1720.41234135447,1708.18531347148,1654.69717811716,1548.82502029427,1491.49293637473,1379.03699430716,1332.13264319752,1395.76225987285,1383.86237654861,1280.40290984644,1193.46424336075,1075.77398835331,996.850363556792,1153.83885868312,1227.69174281913,1290.58528423729,1438.16837329978,1539.01068353201,1571.07085028873,1610.49176961715,1565.42760665043,1429.13100486454,1398.99281239043,1508.38177421979,1497.91314834005,1320.4372252225,1332.78693231501,1228.91853491442,1270.5067869445,1420.33899484834,1412.85556306712,1261.59209771878,1261.06048781082,1097.93803220808,987.812995121544,978.080444498969,988.876214937455,1053.36458607948,1119.52957308505,1080.06776068679,1024.45318570065,1043.30489089816,1004.7018329666,983.969046556325,990.184793172423,994.069634807485,1032.79537194857,1090.74085191575,1031.11875608502,1045.9220473681,1005.39701515393,960.414638326899,967.448246339853,939.232028148353,1008.09595776355,1120.91993745971,1077.94132105497,1023.02192825615,947.615107466117,765.518267456338,771.815800212122,784.697117212589,818.883723601131
A7,1481.55592040294,1448.71878531921,1459.14651812912,1416.69951163234,1465.85298158333,1527.2334794173,1496.93171466382,1577.36838304452,1623.57755196683,1526.49740416013,1510.95803761988,1476.28071439323,1387.62453897414,1377.03323388487,1326.9392233275,1289.9309951198,1139.64896344769,991.738729826448,842.438131830556,803.671501619627,820.478553324998,914.900651591915,991.656943686763,1075.36505765488,1071.52110908966,1157.68280724834,1147.70489820671,1172.85413616,1255.41724417252,1299.45908039317,1273.41019490333,1290.70796344682,1233.37587952728,1215.62828721552,1192.64638196389,1076.87810123906,1019.79137573858,1001.59395965855,973.541313746423,1056.02263561926,1175.59397183947,1202.74697021505,1270.95661071277,1292.18011396116,1248.09738467067,1138.21770600319,1053.16012073026,945.325095554923,968.102535457337,1060.31640795275,1188.06635814151,1262.04192148705,1275.41395532563,1177.10701542365,1127.25836328533,1085.22028748698,1139.36271195879,1205.07787519609,1156.37422901337,1145.94649620347,1197.7171226244,1161.03603897545,1104.19467189402,1106.8527214338,984.173511905539,1061.9930238163,1168.39679154714,1181.76882538572,1177.55683919192,1228.26424579693
A8,3862.63669813693,3825.95561448798,3781.58663370859,3763.71636218731,3690.19062261004,3587.54901730473,3561.09120111647,3507.88931725105,3547.76006034773,3619.8545424805,3676.45055114287,3728.13939142411,3876.09051811519,3941.68300214297,4196.44682726332,4490.05906873429,4910.31714750826,5698.1221380289,6483.39175821929,7594.947182685,8968.34093335387,10312.0872083867,11587.1331260838,12495.3273142215,12965.0251144353,13262.3177321922,13144.5047979752,12858.744025914,12714.7186339278,12591.0579907234,12633.6276764297,12747.96469971,12774.4634089681,12808.8544807059,12918.038977186,13127.3706017111,13355.5948245035,13633.2587687358,13839.686985302,14080.9560973742,14562.3493155631,14933.740175875,15325.0459612003,15699.4629086806,15774.7879433309,15570.0363426282,15464.5731155038,15055.3561655874,14797.0346433907,14501.8275721958,14238.0672717101,13761.2540773436,13338.2561628901,12920.4925613766,12732.875156938,12340.1381141682,11965.966525107,11541.3328878599,11126.6362665845,10746.3307170469,10430.1863940926,9993.61198045137,9411.04930747151,9018.96655381919,8688.79590790881,8359.48401646512,8051.35473519997,7580.0212121924,7030.66371192485,6694.64535702695
A9,1498.11761368926,1422.75168596907,1447.6555655033,1614.49929046173,1752.84054573977,1976.4029585701,1923.896256892,1733.1709791454,1558.39399863748,1450.43629425261,1408.88893529237,1658.58201975222,1753.20858336835,1931.09343718433,1971.29132483976,1889.42339901456,2037.66077719454,2256.88852462154,2424.55011097683,2742.08479830581,3006.45849483921,3151.99693040957,3604.47874821963,4060.72272845523,4530.95213857704,5002.0811962354,5634.86055898216,6140.13532995922,6731.36733374574,7254.55326931393,7745.06564207775,8286.81703135454,8890.84856600185,9627.82347070795,10318.4256342124,10902.6240299859,11580.9991656074,12427.4857113524,12923.2732901259,13655.3410264509,14294.4588150232,14738.3121950965,15239.1296214607,15724.4485743545,15976.1863123065,16327.907606024,16509.1456915671,16693.6961157674,16660.2046915662,16618.2892949774,16517.733236234,16460.6465107336,16274.0514330411,16311.264126598,16077.723804726,15947.9292010451,15538.7531441985,15220.6868469616,14910.1448745757,14613.4247597967,14251.9300223868,13902.9894574186,13498.761462023,13088.1950408017,12602.0582265111,12227.1914552625,11910.5564154701,11601.3639143891,11450.7547381582,11271.5613061072
A10,2470.10499078166,2415.96256630985,2370.81661720345,2226.05514996011,2157.76372332271,2081.3345757866,2113.84456631159,2285.43188737178,2426.06315456101,2401.11838195693,2366.40016566044,2239.18182537963,2168.35502841198,2289.68476663543,2506.45892987187,2632.16422656849,2923.48645612826,3280.81010041424,3608.48626906422,4162.71004464305,4936.69317755684,5622.18370733091,6313.72641144171,6884.06205653858,6993.36923222826,7076.01412638047,6941.2714612486,6801.0491247578,6661.19482589558,6727.76874359958,6650.19459010788,6585.62443282617,6521.29963396352,6384.51231533951,6377.02888355829,6582.14852188954,6678.69705978828,6737.33772194279,6885.45242091324,6950.92222573149,7135.26818458262,7371.7937005531,7568.36668728721,7661.11216969058,7718.73050509902,7607.29688977752,7432.80616075849,7174.2801732126,7054.09544094475,6831.30999644143,6602.51327067123,6260.76988599534,5964.17245042585,5701.72072817506,5529.02929422912,5395.26806277347,5130.89436624007,4855.19328936023,4561.66283402895,4303.95470787992,4057.20592444875,3918.61931075166,3751.03951053606,3597.93585704479,3449.57579965528,3328.36874064136,3170.03077421022,3001.75579180729,2934.11865428738,2876.33674659957
